"skPersona","medicion","factorExpPersonas","factorExpHogares","factorExpViviendas","skVivienda","skHogar","skBarrio","codigoComuna","Edad","Sexo","anios_en_barrio","vida_en_barrio","vive_arriendo","valor_arriendo","vivia_en_otro_pais","vivia_en_otro_municipio","vivia_en_otro_barrio","Estrato","posee_gas","posee_aseo","total_cuartos","cuartos_dormir","posee_sanitario","cantidad_personas_hogar","personas_cuarto","hacinamiento","posee_energia","posee_acueducto","posee_alcantarillado","paredes_material","pisos_material","servicios","material_vivienda","barrio_anterior","codigoBarrioComuna","Cod_comuna","cod_barrio","nombreBarrio","zona","Sector","nombreComuna","migrante_en_arriendo","tipo_persona"
"2024_19575",2024,"133.875","144.39590443686","144.122866894198","2024_6644","2024_6644_1",NA,80,58,1,24,0.413793103448276,0,"-88",0,1,0,2,0,1,4,2,6,NA,NA,NA,1,1,1,NA,NA,10,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19576",2024,"164.454545454545","144.39590443686","144.122866894198","2024_6644","2024_6644_1",NA,80,33,0,24,0.727272727272727,0,"-88",0,1,0,2,0,1,4,2,6,NA,NA,NA,1,1,1,NA,NA,10,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19577",2024,"146.285714285714","144.39590443686","144.122866894198","2024_6645","2024_6645_1",NA,80,23,0,1,0.0434782608695652,1,"5e+05",1,0,0,2,0,1,4,2,6,NA,NA,NA,1,1,1,NA,NA,10,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Internacional"
"2024_19578",2024,"383","144.39590443686","144.122866894198","2024_6645","2024_6645_1",NA,80,26,1,1,0.0384615384615385,1,"5e+05",1,0,0,2,0,1,4,2,6,NA,NA,NA,1,1,1,NA,NA,10,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Internacional"
"2024_19579",2024,"83.1818181818182","144.39590443686","144.122866894198","2024_6646","2024_6646_1",NA,80,61,0,6,0.0983606557377049,1,"7e+05",0,0,1,2,1,1,4,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_602",NA,NA,NA,NA,NA,NA,NA,0,"Nuevo en el barrio"
"2024_19580",2024,"216.75","144.39590443686","144.122866894198","2024_6646","2024_6646_1",NA,80,18,0,6,0.333333333333333,1,"7e+05",0,0,1,2,1,1,4,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_602",NA,NA,NA,NA,NA,NA,NA,0,"Nuevo en el barrio"
"2024_19581",2024,"95.974358974359","144.39590443686","144.122866894198","2024_6647","2024_6647_1",NA,80,60,1,4,0.0666666666666667,1,"550000",0,1,1,2,1,1,5,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_808",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19582",2024,"139.647058823529","144.39590443686","144.122866894198","2024_6647","2024_6647_1",NA,80,43,1,1,0.0232558139534884,1,"550000",0,1,1,2,1,1,5,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_8099",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19583",2024,"162.914285714286","144.39590443686","144.122866894198","2024_6647","2024_6647_1",NA,80,33,1,33,1,1,"550000",0,0,0,2,1,1,5,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19584",2024,"175","144.39590443686","144.122866894198","2024_6647","2024_6647_1",NA,80,8,1,8,1,1,"550000",0,0,0,2,1,1,5,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19585",2024,"90.875","144.39590443686","144.122866894198","2024_6647","2024_6647_1",NA,80,5,0,5,1,1,"550000",0,0,0,2,1,1,5,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19586",2024,"139.647058823529","144.39590443686","144.122866894198","2024_6648","2024_6648_1",NA,80,40,1,22,0.55,1,"460000",0,1,0,2,0,1,3,1,6,NA,NA,NA,1,1,1,NA,NA,10,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19587",2024,"95.9","144.39590443686","144.122866894198","2024_6648","2024_6648_1",NA,80,21,0,21,1,1,"460000",0,0,0,2,0,1,3,1,6,NA,NA,NA,1,1,1,NA,NA,10,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19588",2024,"216.75","144.39590443686","144.122866894198","2024_6648","2024_6648_1",NA,80,18,0,18,1,1,"460000",0,0,0,2,0,1,3,1,6,NA,NA,NA,1,1,1,NA,NA,10,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19589",2024,"95.974358974359","144.39590443686","144.122866894198","2024_6649","2024_6649_1",NA,80,62,1,62,1,1,"5e+05",0,0,0,2,0,1,6,1,6,NA,NA,NA,1,1,1,NA,NA,10,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19590",2024,"73.7692307692308","144.39590443686","144.122866894198","2024_6649","2024_6649_1",NA,80,66,0,66,1,1,"5e+05",0,0,0,2,0,1,6,1,6,NA,NA,NA,1,1,1,NA,NA,10,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19591",2024,"48.3846153846154","144.39590443686","144.122866894198","2024_6650","2024_6650_1",NA,80,86,0,86,1,0,"-88",0,0,0,2,0,1,3,1,6,NA,NA,NA,1,1,1,NA,NA,10,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19592",2024,"118.305555555556","144.39590443686","144.122866894198","2024_6651","2024_6651_1",NA,80,52,1,3,0.0576923076923077,0,"-88",0,0,1,3,1,1,4,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_913",NA,NA,NA,NA,NA,NA,NA,0,"Nuevo en el barrio"
"2024_19593",2024,"162.914285714286","144.39590443686","144.122866894198","2024_6651","2024_6651_1",NA,80,34,1,3,0.0882352941176471,0,"-88",0,0,1,3,1,1,4,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_913",NA,NA,NA,NA,NA,NA,NA,0,"Nuevo en el barrio"
