"","codigoComuna","descripcionSexo","key","FEP_barrio"
"11279",5,"Mujer","502_1_3_2018",102.571428571429
"11280",5,"Mujer","502_1_3_2019",49.3333333333333
"11281",5,"Mujer","502_1_4_2005",29.1
"11282",5,"Mujer","502_1_4_2006",33.8461538461538
"11283",5,"Mujer","502_1_4_2007",41.6666666666667
"11284",5,"Mujer","502_1_4_2008",43.1
"11285",5,"Mujer","502_1_4_2009",46.7777777777778
"11286",5,"Mujer","502_1_4_2010",48.7058823529412
"11287",5,"Mujer","502_1_4_2011",61.8461538461538
"11288",5,"Mujer","502_1_4_2012",55.5
"11289",5,"Mujer","502_1_4_2013",75.6
"11290",5,"Mujer","502_1_4_2014",60.75
"11291",5,"Mujer","502_1_4_2015",64.5454545454545
"11292",5,"Mujer","502_1_4_2016",118.333333333333
"11293",5,"Mujer","502_1_4_2017",179.25
"11294",5,"Mujer","502_1_4_2018",98.8333333333333
"11295",5,"Mujer","502_1_4_2019",202.333333333333
"11296",5,"Mujer","502_1_5_2005",26.1851851851852
"11297",5,"Mujer","502_1_5_2006",41.8888888888889
"11298",5,"Mujer","502_1_5_2007",50.0625
"11299",5,"Mujer","502_1_5_2008",71.25
"11300",5,"Mujer","502_1_5_2009",39.4347826086956
"11301",5,"Mujer","502_1_5_2010",68.6428571428571
"11302",5,"Mujer","502_1_5_2011",100.9
"11303",5,"Mujer","502_1_5_2012",176.166666666667
"11304",5,"Mujer","502_1_5_2013",99.4545454545455
